name,cals,carbs,fats,proteins,servings,gluten
black beans,339,63.25,0.9,21.25,100g&100;1g&1;1 slice&10,TRUE
bread,252,42.71,3.5,12.45,100g&100;1g&1;1 slice&10,TRUE
bulgur,342,75.87,1.33,12.29,100g&100;1g&1;1 slice&10,TRUE
chickpeas,378,62.95,6.04,20.47,100g&100;1g&1;1 slice&10,TRUE
corn tortilla,218,44.64,2.85,5.7,100g&100;1g&1;1 slice&10,TRUE
couscous,376,77.43,0.64,12.76,100g&100;1g&1;1 slice&10,TRUE
cowpeas,336,60.03,1.26,23.52,100g&100;1g&1;1 slice&10,TRUE
granola,489,53.88,24.31,13.67,100g&100;1g&1;1 slice&10,TRUE
kidney beans,333,60.01,0.83,23.58,100g&100;1g&1;1 slice&10,TRUE
lentils,116,20.13,0.38,9.02,100g&100;1g&1;1 slice&10,TRUE
lima beans,335,62.83,0.93,20.62,100g&100;1g&1;1 slice&10,TRUE
oats,379,67.7,6.52,13.15,100g&100;1g&1;1 slice&10,TRUE
pasta,371,74.67,1.51,13.04,100g&100;1g&1;1 slice&10,TRUE
pinto beans,347,62.55,1.23,21.42,100g&100;1g&1;1 slice&10,TRUE
quinoa,368,64.16,6.07,14.12,100g&100;1g&1;1 slice&10,TRUE
brown rice,112,23.51,0.83,2.32,100g&100;1g&1;1 slice&10,TRUE
white rice,358,79.15,0.52,6.5,100g&100;1g&1;1 slice&10,TRUE
soybeans,446,30.16,19.94,36.49,100g&100;1g&1;1 slice&10,TRUE
tofu,76,1.87,4.78,8.08,100g&100;1g&1;1 slice&10,TRUE
wheat tortilla,325,55.6,7.1,8.7,100g&100;1g&1;1 slice&10,TRUE
white beans,67,13.05,0.7,6.15,100g&100;1g&1;1 slice&10,TRUE
almonds,579,21.55,49.93,21.15,100g&100;1g&1,FALSE
brazil nuts,659,11.74,67.1,14.32,100g&100;1g&1,FALSE
cashews,553,30.19,43.85,18.22,100g&100;1g&1,FALSE
hazelnuts,628,16.7,60.75,14.95,100g&100;1g&1,FALSE
peanuts,567,16.13,49.24,25.8,100g&100;1g&1,FALSE
pecan,691,13.86,71.97,9.17,100g&100;1g&1,FALSE
pine nuts,673,13.08,68.37,13.69,100g&100;1g&1,FALSE
pistachios,560,27.17,45.32,20.16,100g&100;1g&1,FALSE
walnuts,654,13.71,65.21,15.23,100g&100;1g&1,FALSE
