name,cals,carbs,fats,proteins,servings,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
apple,52.0,13.81,0.17,0.26,100g&100;1g&1,false,false,false,false,false,false,false,true,true,true,false,false
apricots,48.0,11.12,0.39,1.4,100g&100;1g&1,false,false,false,false,true,true,false,false,false,false,false,false
avocados,160.0,8.53,14.66,2.0,100g&100;1g&1,false,false,false,false,false,false,false,true,true,true,false,false
banana,89.0,22.84,0.33,1.09,100g&100;1g&1,true,true,true,true,true,true,true,true,true,true,true,true
blueberries,57.0,14.49,0.33,0.74,100g&100;1g&1,false,false,false,false,true,true,true,true,true,false,false,false
cantalupe,34.0,8.16,0.19,0.84,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
cranberries,46.0,11.97,0.13,0.46,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
figs,74.0,19.18,0.3,0.75,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
grapes,69.0,18.1,0.16,0.72,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
kiwi,61.0,14.66,0.52,1.14,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
mandarin oranges,53.0,13.34,0.31,0.81,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
mango,60.0,14.98,0.38,0.82,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
melons,36.0,9.09,0.14,0.54,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
olives,145.0,3.84,15.32,1.03,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
orange juice,45.0,10.4,0.2,0.7,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
papaya,43.0,10.82,0.26,0.47,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
peach,39.0,9.54,0.25,0.91,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
pear,57.0,15.23,0.14,0.36,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
persimmons,127.0,33.5,0.4,0.8,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
pineapple,50.0,13.12,0.12,0.54,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
pomegranates,83.0,18.7,1.17,1.67,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
raspberries,52.0,11.94,0.65,1.2,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
squash,17.0,3.11,0.32,1.21,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
strawberries,32.0,7.68,0.3,0.67,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
tomato,18.0,3.89,0.2,0.88,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
watermelon,30.0,7.55,0.15,0.61,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
asparagus,20.0,3.88,0.12,2.2,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
beets,43.0,9.56,0.17,1.61,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
bell pepper,26.0,6.03,0.3,0.99,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
broccoli,34.0,6.64,0.37,2.82,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
brussels sprouts,43.0,8.95,0.3,3.38,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
red cabbage,31.0,7.37,0.16,1.43,100g&100;1g&1,false,false,false,false,false,false,false,false,false,false,false,false
